	npar	fmin	chisq	df	pvalue	baseline.chisq	baseline.df	baseline.pvalue	cfi	tli	nnfi	rfi	nfi	pnfi	ifi	rni	logl	unrestricted.logl	aic	bic	ntotal	bic2	rmsea	rmsea.ci.lower	rmsea.ci.upper	rmsea.pvalue	rmr	rmr_nomean	srmr	srmr_bentler	srmr_bentler_nomean	srmr_bollen	srmr_bollen_nomean	srmr_mplus	srmr_mplus_nomean	cn_05	cn_01	gfi	agfi	pgfi	mfi		
1	163	1.90329413541828	970.680009063324	141	0	2840.25253844455	220	0	0.683358761458984	0.505949840574301	0.505949840574301	0.466760027901057	0.658241654245678	0.421873060221093	0.692626015073999	0.683358761458984	345.763828545939	831.1038330776	-365.527657091877	211.698300768946	255	-305.051029600671	0.214827890682565	0.202158079407222	0.227708840671497	0	0.0550708451633106	0.0550708451633106	0.0912467279124432	0.0912467279124432	0.096464971313828	0.332187393354967	0.0930234972514099	0.332697256549846	0.0950672059917161	45.5835584233942	49.0690883286128	0.99983588212777	0.999646157211645	0.463739669013209	0.196552924672252	7	5
2	163	2.13264052855779	1087.64666956447	141	0	2883.10467722713	220	0	0.644532684854829	0.445370146582003	0.445370146582003	0.4113854518805	0.622751585068866	0.399127152248682	0.654773693569663	0.644532684854829	374.876330812941	918.699665595179	-423.752661625883	153.47329623494	255	-363.276034134677	0.229471791886411	0.216859776903975	0.242287099333079	0	0.054523441436223	0.054523441436223	0.103275751066596	0.103275751066596	0.109181913609139	0.349771940858778	0.10569399840378	0.350308737898008	0.10769786104332	40.7889959170514	43.8996882904698	0.999808891309179	0.999587964241066	0.463727150245376	0.156270009100294	7	5
3	163	2.11221485582714	1077.22957647184	141	0	3020.07453664429	220	0	0.665641194825531	0.478305410366077	0.478305410366077	0.443462829825844	0.643310268206564	0.412303399168752	0.674815790784263	0.665641194825531	36.7516964242927	575.366484660213	252.496607151415	829.722565012238	255	312.97323464262	0.228205722020481	0.21558916718709	0.241026251610092	0	0.0558335680105425	0.0558335680105425	0.0923249666406267	0.0923249666406267	0.0976048726600275	0.253216609698291	0.0939792983687182	0.253767628146926	0.0956350529875414	41.1737659638301	44.3145395499669	0.999770880346805	0.999506011527863	0.463709520160854	0.159494750808259	8	5
4	163	2.34563774327123	1196.27524906833	141	0	3065.00569704576	220	0	0.6290779838634	0.421256428723036	0.421256428723036	0.391019481885255	0.609698849753732	0.390761535523983	0.639099455197877	0.6290779838634	65.8642034530706	664.001827987233	194.271593093859	771.497550954682	255	254.748220585065	0.242280369505719	0.229710156136553	0.255047002629103	0	0.0553432516904252	0.0553432516904252	0.102465254498941	0.102465254498941	0.108325066137043	0.275198497589216	0.104502209306137	0.275772223673413	0.106197750826172	37.1759293508745	40.0041532087392	0.999738730100707	0.999436694685213	0.463694608369078	0.126290918673189	8	5
5	163	2.00922562757677	1024.70507006415	141	0	3098.19208342644	220	0	0.692965221066095	0.520938642798162	0.520938642798162	0.483947230280948	0.669257088498244	0.428932952173875	0.701167511229024	0.692965221066095	226.853839889116	739.206374921192	-127.707679778232	449.518278082592	255	-67.2310522870259	0.221711910660741	0.209070767449206	0.23456052165312	0	0.0627073683263462	0.0627073683263462	0.0870728342650742	0.0870728342650742	0.092052379868923	0.273058000005185	0.0881000123540297	0.273593673803157	0.0899575736410079	43.2329996784207	46.5347635701289	0.999842631228046	0.999660708463304	0.463742799352482	0.176796656644095	5	5
6	163	2.19640980180437	1120.16899892023	141	0	3119.54150760248	220	0	0.662302127300855	0.473095517774384	0.473095517774384	0.439731315484812	0.640918706742539	0.410770625684991	0.671258904258685	0.662302127300855	255.966350675383	816.050850135497	-185.932701350765	391.293256510058	255	-125.45607385956	0.233380291945627	0.220781804844645	0.246179966333681	0	0.0620278100606135	0.0620278100606135	0.0965090030350623	0.0965090030350623	0.102028186898238	0.292964832839911	0.0979686062485504	0.293528818944701	0.0998750526662606	39.6337855593318	42.6541639158561	0.999818906186424	0.999609556600517	0.463731795303572	0.146615874115188	5	5
7	163	2.03066120038273	1035.63721219519	141	0	3332.78267877648	220	0	0.712592460021385	0.551562703579466	0.551562703579466	0.515153550483402	0.689257502809817	0.44175139952811	0.719706100874594	0.712592460021385	-6.96528101864531	510.85332507895	339.930562037291	917.156519898114	255	400.407189528496	0.223079072718697	0.210443295244868	0.23592158523687	0	0.0635750771767849	0.0635750771767849	0.088305462570856	0.088305462570856	0.0933555000670909	0.243202293477884	0.0888899778642051	0.243818320981415	0.0907627254264364	42.787189939578	46.0541005528193	0.99979188178156	0.99955129121698	0.463719260957895	0.173047247965051	6	4
8	163	2.21859484512046	1131.48337101143	141	0	3354.51433041464	220	0	0.684007387874851	0.506961881790547	0.506961881790547	0.473713666696431	0.662698304564531	0.424729367925449	0.691775648349565	0.684007387874851	22.1472285185997	587.888914024316	281.705542962801	858.931500823624	255	342.182170454006	0.234724782670214	0.222130785352721	0.247519244146211	0	0.0629398756696697	0.0629398756696697	0.095979578978017	0.095979578978017	0.101468485990115	0.265340451793442	0.0966875937760525	0.265982898623274	0.0986655114102015	39.2474634654248	42.237639270628	0.999764956558331	0.999493239671862	0.463706772614226	0.14339900967319	6	4
9	163	1.85786989047098	947.513644140201	141	0	2790.19273211519	220	0	0.686204993865785	0.510390770570729	0.510390770570729	0.470147683334086	0.660412833409573	0.423264588685226	0.695562488012619	0.686204993865785	7.25009075399127	481.006912824092	311.499818492017	888.725776352841	255	371.976445983223	0.211807439795644	0.199124114729199	0.224703496372167	0	0.069634908905661	0.069634908905661	0.0861486246390826	0.0861486246390826	0.0910753162843172	0.264800933507195	0.0886515077147039	0.265186681638105	0.0899687982834891	46.6736102557823	50.2443601029343	0.999856845314416	0.999691354436755	0.463749392070173	0.205687078349879	8	5
10	163	2.10650731162054	1074.31872892647	141	0	2842.88330412719	220	0	0.644163075247051	0.44479345074008	0.44479345074008	0.410372565781223	0.622102417159784	0.398711094634225	0.654567342897154	0.644163075247051	36.3625974931412	573.521961956378	253.274805013718	830.500762874541	255	313.751432504923	0.227850686668231	0.215232844431543	0.24067269498042	0	0.0691125132571329	0.0691125132571329	0.0965333672717527	0.0965333672717527	0.102053944483663	0.285598702399946	0.0994114500711987	0.286019950090201	0.100802511855177	41.2826160703164	44.4318995267903	0.999836006162586	0.999646424634227	0.463739726542515	0.160407676954091	8	5
